matrix,row_block_size,col_block_size,tau
data/suitsparse_N20000_100000_dN0.0001_0.1//bips07_3078.mtx,256,256,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//bips07_3078.mtx,512,512,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//bips07_3078.mtx,1024,1024,0.2
data/suitsparse_N20000_100000_dN0.0001_0.1//bloweya.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bloweya.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bloweya.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bloweya.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bloweya.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bloweybl.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bloweybl.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bloweybl.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bloweybl.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bloweybl.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//brainpc2.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//brainpc2.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//brainpc2.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//brainpc2.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//brainpc2.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bratu3d.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bratu3d.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bratu3d.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bratu3d.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bratu3d.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-49.mtx,64,64,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//c-49.mtx,128,128,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//c-49.mtx,256,256,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//c-49.mtx,512,512,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//c-49.mtx,1024,1024,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//c-51.mtx,64,64,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//c-51.mtx,128,128,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//c-51.mtx,256,256,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//c-51.mtx,512,512,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//c-51.mtx,1024,1024,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//c-53.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//c-53.el,128,128,0.001
