exp_name,input_type,input_source,rows,cols,B_cols,B_density,total_nonzeros,input_blocks_density,input_entries_density,input_block_size,reorder_algorithm,algo_block_size,epsilon,similarity_func,hierarchic_merge,merge_limit,scramble,Warmup,Repetitions,Algorithm,VBS_avg_nzblock_height,VBS_avg_nzblock_height_error,VBS_total_nonzeros,VBS_total_nonzeros_error,VBS_block_rows,VBS_block_rows_error,VBS_nz_blocks,VBS_nz_blocks_error,avg_skipped,skipped_std,avg_comparisons,comparisons_std,VBSmm_algo_mean(ms),VBSmm_algo_std,cusparse_spmm_mean(ms),cusparse_spmm_std,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bmw7st_1.el,141348,141348,4096,1.000000,514273,0.500000,0.500000,4,saad_blocks,64,0.100000,jaccard,1,0.000000,1,0,10,-1,63.808823,0.000000,1387472.000000,0.000000,341.000000,0.000000,340.000000,0.000000,0.000000,0.000000,57970.000000,0.000000,6.988032,0.762440,46.331566,0.270458,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bmw7st_1.el,141348,141348,4096,1.000000,514273,0.500000,0.500000,4,saad_blocks,64,0.500000,jaccard,1,0.000000,1,0,10,-1,63.808823,0.000000,1387472.000000,0.000000,341.000000,0.000000,340.000000,0.000000,0.000000,0.000000,57970.000000,0.000000,7.007104,0.731458,46.342754,0.186872,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bn-mouse_retina_1.el,1112,1112,4096,1.000000,577350,0.500000,0.500000,4,saad_blocks,64,0.100000,jaccard,1,0.000000,1,0,10,-1,56.388889,0.000000,64720.000000,0.000000,19.000000,0.000000,18.000000,0.000000,0.000000,0.000000,171.000000,0.000000,0.625072,0.332610,12.914000,0.596116,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bn-mouse_retina_1.el,1112,1112,8192,1.000000,577350,0.500000,0.500000,4,saad_blocks,64,0.100000,jaccard,1,0.000000,1,0,10,-1,56.388889,0.000000,64720.000000,0.000000,19.000000,0.000000,18.000000,0.000000,0.000000,0.000000,171.000000,0.000000,0.579994,0.323474,25.156189,0.024884,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bn-mouse_retina_1.el,1112,1112,16384,1.000000,577350,0.500000,0.500000,4,saad_blocks,64,0.100000,jaccard,1,0.000000,1,0,10,-1,56.388889,0.000000,64720.000000,0.000000,19.000000,0.000000,18.000000,0.000000,0.000000,0.000000,171.000000,0.000000,0.971446,0.315823,51.210358,0.029471,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bn-mouse_retina_1.el,1112,1112,32768,1.000000,577350,0.500000,0.500000,4,saad_blocks,64,0.100000,jaccard,1,0.000000,1,0,10,-1,56.388889,0.000000,64720.000000,0.000000,19.000000,0.000000,18.000000,0.000000,0.000000,0.000000,171.000000,0.000000,1.782704,0.454537,103.910706,0.076803,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bn-mouse_retina_1.el,1112,1112,4096,1.000000,577350,0.500000,0.500000,4,saad_blocks,64,0.500000,jaccard,1,0.000000,1,0,10,-1,56.388889,0.000000,64720.000000,0.000000,19.000000,0.000000,18.000000,0.000000,0.000000,0.000000,171.000000,0.000000,0.625357,0.332996,12.824086,0.595213,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bn-mouse_retina_1.el,1112,1112,8192,1.000000,577350,0.500000,0.500000,4,saad_blocks,64,0.500000,jaccard,1,0.000000,1,0,10,-1,56.388889,0.000000,64720.000000,0.000000,19.000000,0.000000,18.000000,0.000000,0.000000,0.000000,171.000000,0.000000,0.581389,0.322820,25.144314,0.015675,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bn-mouse_retina_1.el,1112,1112,16384,1.000000,577350,0.500000,0.500000,4,saad_blocks,64,0.500000,jaccard,1,0.000000,1,0,10,-1,56.388889,0.000000,64720.000000,0.000000,19.000000,0.000000,18.000000,0.000000,0.000000,0.000000,171.000000,0.000000,0.984026,0.317465,51.248333,0.035421,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bn-mouse_retina_1.el,1112,1112,32768,1.000000,577350,0.500000,0.500000,4,saad_blocks,64,0.500000,jaccard,1,0.000000,1,0,10,-1,56.388889,0.000000,64720.000000,0.000000,19.000000,0.000000,18.000000,0.000000,0.000000,0.000000,171.000000,0.000000,1.786755,0.445987,103.792068,0.080277,
