matrix_name rows cols nnz block_size scramble algo mask tau centroid VBR_nzcount VBR_nzblocks_count VBR_average_height VBR_longest_row
598a 110971 110971 741934 16 0 clubs 256 06 64 139713184 545789 15.999 199
598a 110971 110971 741934 16 0 clubs 256 09 64 152870672 597187 15.999 196
598a 110971 110971 741934 16 0 clubs 1 01 64 152625408 596233 15.9989 201
598a 110971 110971 741934 16 0 clubs 1 03 64 152614400 596190 15.9989 201
598a 110971 110971 741934 16 0 clubs 1 06 64 150705920 588735 15.9989 205
598a 110971 110971 741934 16 0 clubs 1 09 64 91943552 359172 15.9992 118
598a 110971 110971 741934 16 0 clubs 16 01 64 152390144 595314 15.9989 201
598a 110971 110971 741934 16 0 clubs 16 03 64 152343040 595130 15.9989 201
598a 110971 110971 741934 16 0 clubs 16 06 64 140907936 550461 15.9989 199
598a 110971 110971 741934 16 0 clubs 16 09 64 96720096 377831 15.9992 130
598a 110971 110971 741934 16 0 clubs 64 01 64 153032960 597825 15.9989 201
598a 110971 110971 741934 16 0 clubs 64 03 64 153124352 598182 15.9989 200
598a 110971 110971 741934 16 0 clubs 64 06 64 140079008 547223 15.9988 197
598a 110971 110971 741934 16 0 clubs 64 09 64 125176624 488994 15.9993 155
598a 110971 110971 741934 16 0 clubs 256 01 64 153831936 600946 15.9989 201
598a 110971 110971 741934 16 0 clubs 256 03 64 153759488 600663 15.9989 202
598a 110971 110971 741934 16 0 clubs 256 06 64 139713184 545789 15.999 199
598a 110971 110971 741934 16 0 clubs 256 09 64 152870672 597187 15.999 196
598a 110971 110971 741934 16 0 clubs 1 01 128 152628736 596246 15.9989 201
598a 110971 110971 741934 16 0 clubs 1 03 128 152622336 596221 15.9989 201
598a 110971 110971 741934 16 0 clubs 1 06 128 150711552 588757 15.9989 205
598a 110971 110971 741934 16 0 clubs 1 09 128 92304976 360586 15.9991 118
598a 110971 110971 741934 16 0 clubs 16 01 128 152448512 595542 15.9989 201
598a 110971 110971 741934 16 0 clubs 16 03 128 152403712 595367 15.9989 201
598a 110971 110971 741934 16 0 clubs 16 06 128 140943264 550599 15.9989 199
