matrix,row_block_size,col_block_size,tau
data/suitesparse_all//bbmat.mtx,256,256,-1.0
data/suitesparse_all//bbmat.mtx,512,512,-1.0
data/suitesparse_all//bbmat.mtx,1024,1024,0.4
data/suitesparse_all//bcsstk30.mtx,64,64,-1.0
data/suitesparse_all//bcsstk30.mtx,256,256,-1.0
data/suitesparse_all//bcsstk30.mtx,512,512,-1.0
data/suitesparse_all//bcsstk30.mtx,1024,1024,-1.0
data/suitesparse_all//bcsstk31.mtx,64,64,-1.0
data/suitesparse_all//bcsstk31.mtx,256,256,-1.0
data/suitesparse_all//bcsstk31.mtx,512,512,-1.0
data/suitesparse_all//bcsstk31.mtx,1024,1024,-1.0
data/suitesparse_all//bcsstk32.mtx,64,64,-1.0
data/suitesparse_all//bcsstk32.mtx,256,256,-1.0
data/suitesparse_all//bcsstk32.mtx,512,512,-1.0
data/suitesparse_all//bcsstk32.mtx,1024,1024,-1.0
data/suitesparse_all//bcsstk35.mtx,64,64,-1.0
data/suitesparse_all//bcsstk35.mtx,256,256,-1.0
data/suitesparse_all//bcsstk35.mtx,512,512,-1.0
data/suitesparse_all//bcsstk35.mtx,1024,1024,0.001
data/suitesparse_all//bcsstk36.mtx,64,64,-1.0
data/suitesparse_all//bcsstk36.mtx,256,256,-1.0
data/suitesparse_all//bcsstk36.mtx,512,512,-1.0
data/suitesparse_all//bcsstk36.mtx,1024,1024,0.001
data/suitesparse_all//bcsstk37.mtx,64,64,-1.0
data/suitesparse_all//bcsstk37.mtx,256,256,-1.0
data/suitesparse_all//bcsstk37.mtx,512,512,-1.0
data/suitesparse_all//bcsstk37.mtx,1024,1024,0.001
data/suitesparse_all//bcsstk39.mtx,64,64,-1.0
data/suitesparse_all//bcsstk39.mtx,256,256,-1.0
data/suitesparse_all//bcsstk39.mtx,512,512,-1.0
data/suitesparse_all//bcsstk39.mtx,1024,1024,-1.0
data/suitesparse_all//bcsstm36.mtx,64,64,0.8
data/suitesparse_all//bcsstm36.mtx,256,256,0.8
data/suitesparse_all//bcsstm36.mtx,512,512,0.8
data/suitesparse_all//bcsstm36.mtx,1024,1024,0.6
data/suitesparse_all//biplane-9.mtx,64,64,0.6
data/suitesparse_all//biplane-9.mtx,256,256,-1.0
data/suitesparse_all//biplane-9.mtx,512,512,0.001
data/suitesparse_all//biplane-9.mtx,1024,1024,-1.0
data/suitesparse_all//bips07_3078.mtx,64,64,-1.0
data/suitesparse_all//bips07_3078.mtx,256,256,-1.0
data/suitesparse_all//bips07_3078.mtx,512,512,-1.0
data/suitesparse_all//bips07_3078.mtx,1024,1024,0.2
data/suitesparse_all//blockqp1.mtx,64,64,0.4
data/suitesparse_all//blockqp1.mtx,256,256,0.4
data/suitesparse_all//blockqp1.mtx,512,512,0.4
data/suitesparse_all//blockqp1.mtx,1024,1024,0.4
data/suitesparse_all//bloweya.mtx,64,64,0.4
data/suitesparse_all//bloweya.mtx,256,256,0.4
data/suitesparse_all//bloweya.mtx,512,512,0.4
data/suitesparse_all//bloweya.mtx,1024,1024,0.4
data/suitesparse_all//bloweybl.mtx,64,64,-1.0
data/suitesparse_all//bloweybl.mtx,256,256,-1.0
data/suitesparse_all//bloweybl.mtx,512,512,-1.0
data/suitesparse_all//bloweybl.mtx,1024,1024,-1.0
data/suitesparse_all//boyd1.mtx,64,64,-1.0
data/suitesparse_all//boyd1.mtx,256,256,-1.0
data/suitesparse_all//boyd1.mtx,512,512,-1.0
data/suitesparse_all//boyd1.mtx,1024,1024,-1.0
data/suitesparse_all//brack2.mtx,64,64,0.2
data/suitesparse_all//brack2.mtx,256,256,-1.0
data/suitesparse_all//brack2.mtx,512,512,-1.0
