exp_name,input_type,input_source,rows,cols,B_cols,B_density,total_nonzeros,input_blocks_density,input_entries_density,input_block_size,reorder_algorithm,algo_block_size,epsilon,similarity_func,hierarchic_merge,scramble,Warmup,Repetitions,Algorithm,VBS_avg_nzblock_height,VBS_avg_nzblock_height_error,VBS_total_nonzeros,VBS_total_nonzeros_error,VBS_block_rows,VBS_block_rows_error,VBS_nz_blocks,VBS_nz_blocks_error,VBS_min_block_H,VBS_min_block_H_error,VBS_max_block_H,VBS_max_block_H_error,
default,2,data/real-graphs/CA-HepTh.txt,9877,9877,5,1.000000,51971,0.500000,0.500000,4,saad_blocks,64,0.400000,scalar,1,1,0,5,-1,10.531827,0.154506,15645790.000000,176598.296875,1350.000000,11.949896,23256.400391,104.754189,1.000000,0.000000,114.599998,8.800000,
default,2,data/real-graphs/CA-HepTh.txt,9877,9877,5,1.000000,51971,0.500000,0.500000,4,saad_blocks,32,0.500000,scalar,1,1,0,5,-1,2.492225,0.008682,2819899.750000,7148.276855,3956.600098,10.480457,35384.398438,37.108490,1.000000,0.000000,32.000000,0.000000,
default,2,data/real-graphs/CA-HepTh.txt,9877,9877,5,1.000000,51971,0.500000,0.500000,4,saad_blocks,64,0.500000,scalar,1,1,0,5,-1,3.370818,0.014939,6845552.000000,22980.867188,3073.600098,12.354755,31779.599609,60.188370,1.000000,0.000000,32.000000,0.000000,
default,2,data/real-graphs/CA-HepTh.txt,9877,9877,5,1.000000,51971,0.500000,0.500000,4,saad_blocks,32,0.600000,scalar,1,1,0,5,-1,1.667614,0.001156,2109324.500000,1146.595337,5192.000000,3.521363,39554.000000,6.985700,1.000000,0.000000,32.000000,0.000000,
default,2,data/real-graphs/CA-HepTh.txt,9877,9877,5,1.000000,51971,0.500000,0.500000,4,saad_blocks,64,0.600000,scalar,1,1,0,5,-1,2.010805,0.002721,4683735.000000,5717.820312,4381.200195,4.069398,36448.800781,12.383860,1.000000,0.000000,32.000000,0.000000,
default,2,data/real-graphs/CA-HepTh.txt,9877,9877,5,1.000000,51971,0.500000,0.500000,4,saad_blocks,32,0.700000,scalar,1,1,0,5,-1,1.394437,0.000353,1877195.750000,350.101349,5844.600098,2.244994,42098.000000,3.521363,1.000000,0.000000,32.000000,0.000000,
default,2,data/real-graphs/CA-HepTh.txt,9877,9877,5,1.000000,51971,0.500000,0.500000,4,saad_blocks,64,0.700000,scalar,1,1,0,5,-1,1.514715,0.001077,3855194.500000,2494.391113,5281.000000,1.897367,39823.601562,4.270832,1.000000,0.000000,32.000000,0.000000,
default,2,data/real-graphs/CA-HepTh.txt,9877,9877,5,1.000000,51971,0.500000,0.500000,4,saad_blocks,32,0.800000,scalar,1,1,0,5,-1,1.059088,0.000143,1620487.750000,15.676814,7792.799805,2.925748,47851.000000,6.066300,1.000000,0.000000,15.000000,0.000000,
default,2,data/real-graphs/CA-HepTh.txt,9877,9877,5,1.000000,51971,0.500000,0.500000,4,saad_blocks,64,0.800000,scalar,1,1,0,5,-1,1.075088,0.000137,3186416.000000,107.092484,7513.799805,2.135416,46380.398438,4.630335,1.000000,0.000000,26.000000,0.000000,
default,2,data/real-graphs/CA-HepTh.txt,9877,9877,5,1.000000,51971,0.500000,0.500000,4,saad_blocks,32,0.900000,scalar,1,1,0,5,-1,1.038855,0.000144,1606395.000000,0.000000,8025.799805,3.124100,48359.000000,6.723094,1.000000,0.000000,15.000000,0.000000,
default,2,data/real-graphs/CA-HepTh.txt,9877,9877,5,1.000000,51971,0.500000,0.500000,4,saad_blocks,64,0.900000,scalar,1,1,0,5,-1,1.042950,0.000110,3142619.000000,0.000000,7870.399902,2.059126,47152.800781,4.955805,1.000000,0.000000,26.000000,0.000000,
default,2,data/real-graphs/facebook_combined.txt,3503,3503,5,1.000000,43130,0.500000,0.500000,4,saad_blocks,32,0.300000,scalar,1,1,0,5,-1,253.901321,7.512437,4411167.000000,131097.703125,65.000000,1.788854,543.799988,25.222212,1.000000,0.000000,1019.799988,3.709447,
default,2,data/real-graphs/facebook_combined.txt,3503,3503,5,1.000000,43130,0.500000,0.500000,4,saad_blocks,64,0.300000,scalar,1,1,0,5,-1,453.387115,10.269569,6285439.000000,93347.398438,34.400002,1.496663,217.800003,3.249615,1.000000,0.000000,1497.199951,4.118252,
default,2,data/real-graphs/facebook_combined.txt,3503,3503,5,1.000000,43130,0.500000,0.500000,4,saad_blocks,32,0.400000,scalar,1,1,0,5,-1,136.965622,2.934828,2876641.250000,52661.925781,81.000000,2.097618,656.799988,10.514752,1.000000,0.000000,561.599976,14.867414,
