exp_name,input_type,input_source,reorder_algorithm,rows,cols,total_nonzeros,input_blocks_density,input_entries_density,input_block_size,algo_block_size,epsilon,scramble,VBS_avg_nzblock_height,VBS_avg_nzblock_height_error,VBS_total_nonzeros,VBS_total_nonzeros_error,VBS_block_rows,VBS_block_rows_error,VBS_nz_blocks,VBS_nz_blocks_error,VBS_min_block_H,VBS_min_block_H_error,VBS_max_block_H,VBS_max_block_H_error,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,64,0.450000,1,7.108278,0.000000,54754680.000000,0.000000,6536.000000,0.000000,120458.000000,0.000000,1.000000,0.000000,98.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,64,0.450000,1,2.946817,0.000000,21362042.000000,0.000000,9600.000000,0.000000,113364.000000,0.000000,1.000000,0.000000,30.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,64,0.450000,3,7.069160,0.000000,55817000.000000,0.000000,6669.000000,0.000000,123483.000000,0.000000,1.000000,0.000000,108.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,64,0.450000,3,2.933203,0.000000,21906238.000000,0.000000,9634.000000,0.000000,116757.000000,0.000000,1.000000,0.000000,31.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,128,0.450000,1,9.642363,0.000000,142472304.000000,0.000000,5724.000000,0.000000,115631.000000,0.000000,1.000000,0.000000,180.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,128,0.450000,1,2.931791,0.000000,40627896.000000,0.000000,9600.000000,0.000000,108387.000000,0.000000,1.000000,0.000000,30.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,128,0.450000,3,9.458959,0.000000,144460432.000000,0.000000,5887.000000,0.000000,119488.000000,0.000000,1.000000,0.000000,206.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,128,0.450000,3,2.917344,0.000000,41742192.000000,0.000000,9634.000000,0.000000,111897.000000,0.000000,1.000000,0.000000,31.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,200,0.450000,1,10.289471,0.000000,221059008.000000,0.000000,4880.000000,0.000000,107752.000000,0.000000,1.000000,0.000000,263.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,200,0.450000,1,2.917027,0.000000,60535724.000000,0.000000,9600.000000,0.000000,103973.000000,0.000000,1.000000,0.000000,30.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,200,0.450000,3,10.114141,0.000000,223950368.000000,0.000000,4973.000000,0.000000,111039.000000,0.000000,1.000000,0.000000,296.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,200,0.450000,3,2.905335,0.000000,62171480.000000,0.000000,9634.000000,0.000000,107199.000000,0.000000,1.000000,0.000000,31.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,256,0.450000,1,10.754541,0.000000,267176896.000000,0.000000,4140.000000,0.000000,97650.000000,0.000000,1.000000,0.000000,342.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,256,0.450000,1,2.905382,0.000000,74674104.000000,0.000000,9600.000000,0.000000,100689.000000,0.000000,1.000000,0.000000,30.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,256,0.450000,3,10.368272,0.000000,271204896.000000,0.000000,4351.000000,0.000000,102753.000000,0.000000,1.000000,0.000000,348.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,256,0.450000,3,2.889890,0.000000,76686064.000000,0.000000,9634.000000,0.000000,103923.000000,0.000000,1.000000,0.000000,31.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,300,0.450000,1,11.320376,0.000000,298350592.000000,0.000000,3636.000000,0.000000,88243.000000,0.000000,1.000000,0.000000,390.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,300,0.450000,1,2.897284,0.000000,85357576.000000,0.000000,9600.000000,0.000000,98378.000000,0.000000,1.000000,0.000000,30.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,300,0.450000,3,10.996685,0.000000,302267200.000000,0.000000,3709.000000,0.000000,92011.000000,0.000000,1.000000,0.000000,389.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,300,0.450000,3,2.886039,0.000000,87739008.000000,0.000000,9634.000000,0.000000,101456.000000,0.000000,1.000000,0.000000,31.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,512,0.450000,1,19.110376,0.000000,386190464.000000,0.000000,1682.000000,0.000000,40117.000000,0.000000,1.000000,0.000000,662.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,512,0.450000,1,2.865023,0.000000,129661880.000000,0.000000,9600.000000,0.000000,88771.000000,0.000000,1.000000,0.000000,30.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,512,0.450000,3,19.804394,0.000000,390611328.000000,0.000000,1628.000000,0.000000,39150.000000,0.000000,1.000000,0.000000,656.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,512,0.450000,3,2.854981,0.000000,133250032.000000,0.000000,9634.000000,0.000000,91505.000000,0.000000,1.000000,0.000000,31.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,16,0.500000,1,3.032771,0.000000,5863071.000000,0.000000,8446.000000,0.000000,120838.000000,0.000000,1.000000,0.000000,33.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,16,0.500000,1,2.510470,0.000000,4898545.000000,0.000000,11486.000000,0.000000,121964.000000,0.000000,1.000000,0.000000,27.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,16,0.500000,3,3.008684,0.000000,5919780.000000,0.000000,8483.000000,0.000000,122981.000000,0.000000,1.000000,0.000000,38.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,16,0.500000,3,2.501634,0.000000,4972670.000000,0.000000,11497.000000,0.000000,124242.000000,0.000000,1.000000,0.000000,27.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,32,0.500000,1,3.542480,0.000000,13563828.000000,0.000000,7998.000000,0.000000,119667.000000,0.000000,1.000000,0.000000,42.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,32,0.500000,1,2.504849,0.000000,9620102.000000,0.000000,11486.000000,0.000000,120034.000000,0.000000,1.000000,0.000000,27.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,32,0.500000,3,3.467574,0.000000,13631983.000000,0.000000,8137.000000,0.000000,122866.000000,0.000000,1.000000,0.000000,47.000000,0.000000,
