exp_name,input_type,input_source,rows,cols,B_cols,B_density,total_nonzeros,input_blocks_density,input_entries_density,input_block_size,reorder_algorithm,algo_block_size,epsilon,similarity_func,hierarchic_merge,merge_limit,scramble,Warmup,Repetitions,Algorithm,VBS_avg_nzblock_height,VBS_avg_nzblock_height_error,VBS_total_nonzeros,VBS_total_nonzeros_error,VBS_block_rows,VBS_block_rows_error,VBS_nz_blocks,VBS_nz_blocks_error,VBS_min_block_H,VBS_min_block_H_error,VBS_max_block_H,VBS_max_block_H_error,avg_skipped,avg_comparisons,
default,4,NO_INPUT,2048,2048,5,1.000000,41820,0.100000,0.100000,64,saad_blocks,64,0.300000,jaccard,1,0.000000,1,0,1,-1,105.142860,0.000000,565248.000000,0.000000,20.000000,0.000000,84.000000,0.000000,64.000000,0.000000,192.000000,0.000000,0.000000,19436.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,41820,0.100000,0.100000,64,saad_blocks,64,0.300000,jaccard,1,0.250000,1,0,1,-1,66.509804,0.000000,434176.000000,0.000000,31.000000,0.000000,102.000000,0.000000,1.000000,0.000000,128.000000,0.000000,895.000000,32032.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,41820,0.100000,0.100000,64,saad_blocks,64,0.300000,jaccard,1,0.500000,1,0,1,-1,70.530609,0.000000,442368.000000,0.000000,29.000000,0.000000,98.000000,0.000000,64.000000,0.000000,128.000000,0.000000,768.000000,29347.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,41820,0.100000,0.100000,64,saad_blocks,64,0.300000,jaccard,1,0.750000,1,0,1,-1,74.000000,0.000000,454656.000000,0.000000,28.000000,0.000000,96.000000,0.000000,64.000000,0.000000,128.000000,0.000000,642.000000,28964.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,41820,0.100000,0.100000,64,saad_blocks,64,0.300000,jaccard,1,1.000000,1,0,1,-1,81.632652,0.000000,512000.000000,0.000000,24.000000,0.000000,98.000000,0.000000,63.000000,0.000000,128.000000,0.000000,318.000000,23450.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,41820,0.100000,0.100000,64,saad_blocks,64,0.300000,jaccard,1,2.000000,1,0,1,-1,105.142860,0.000000,565248.000000,0.000000,20.000000,0.000000,84.000000,0.000000,64.000000,0.000000,192.000000,0.000000,0.000000,19436.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,83640,0.100000,0.200000,64,saad_blocks,64,0.300000,jaccard,1,-1.000000,1,0,1,-1,70.530609,0.000000,442368.000000,0.000000,29.000000,0.000000,98.000000,0.000000,64.000000,0.000000,128.000000,0.000000,768.000000,29347.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,83640,0.100000,0.200000,64,saad_blocks,64,0.300000,jaccard,1,0.000000,1,0,1,-1,98.976746,0.000000,544768.000000,0.000000,21.000000,0.000000,86.000000,0.000000,64.000000,0.000000,192.000000,0.000000,0.000000,19755.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,83640,0.100000,0.200000,64,saad_blocks,64,0.300000,jaccard,1,0.250000,1,0,1,-1,68.525253,0.000000,434176.000000,0.000000,30.000000,0.000000,99.000000,0.000000,64.000000,0.000000,128.000000,0.000000,832.000000,31138.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,83640,0.100000,0.200000,64,saad_blocks,64,0.300000,jaccard,1,0.500000,1,0,1,-1,70.530609,0.000000,442368.000000,0.000000,29.000000,0.000000,98.000000,0.000000,64.000000,0.000000,128.000000,0.000000,768.000000,29347.000000,
